strategie,periode,trades,sharpe,rendement_total,max_drawdown,win_rate,esperance_R,profit_factor,R_total,duree_moyenne_h
S1_tsmom,complet,286,-0.0730965744141907,-0.26792459914061484,-0.48216457559709835,0.36363636363636365,-0.027909999590825824,0.8907368823872679,-7.9822598829761855,399.5769230769231
S2_xsmom,complet,433,-0.5426702218670492,-0.6569267969335749,-0.7315199195729822,0.34872979214780603,-0.09343011375926713,0.7460881851684407,-40.45523925776267,358.05080831408776
S3_donchian,complet,401,-0.6393498383296179,-0.6812272191317669,-0.7412913129302092,0.2718204488778055,-0.11619931960725574,0.7057756470929503,-46.595927162509554,323.1097256857855
S4_meanrev,complet,735,-1.1930310649346099,-0.7614818338990064,-0.7965605825850541,0.6190476190476191,-0.08639158562725582,0.6427713607496881,-63.49781543603303,177.621768707483
S1_tsmom,in-sample,166,-0.09492128962854478,-0.17818435839334057,-0.40743649367133683,0.3674698795180723,-0.01563216605949653,0.9007121174198036,-2.5949395658764236,402.9457831325301
S2_xsmom,in-sample,240,-0.22343092586997607,-0.2973596233070108,-0.5247818987005172,0.4,-0.03679537107865658,0.8208908256282761,-8.83088905887758,337.96666666666664
S3_donchian,in-sample,201,-0.42080806640297286,-0.37399646338328363,-0.5300735757874403,0.27860696517412936,-0.08131698673620101,0.7355313712838293,-16.344714333976402,346.65671641791045
S4_meanrev,in-sample,422,-0.9125176366648361,-0.47964398988719104,-0.5699922345997648,0.6516587677725119,-0.06455873344562245,0.6823433213905337,-27.243785514052675,158.48815165876778
S1_tsmom,out-of-sample,127,-0.3470239855878517,-0.23564037869802612,-0.39206616194490407,0.3464566929133858,-0.08094517688950369,0.8041772398085213,-10.280037464966968,357.9212598425197
S2_xsmom,out-of-sample,190,-0.983041688984695,-0.5164966605722143,-0.6407502621967603,0.28421052631578947,-0.15929236460054408,0.6426959517052296,-30.265549274103375,378.7157894736842
S3_donchian,out-of-sample,200,-0.9378735347749054,-0.49308633880926644,-0.5898630883204874,0.265,-0.15053007203336297,0.6597274210275702,-30.106014406672593,295.11
S4_meanrev,out-of-sample,312,-1.6138685434180455,-0.5418602327733391,-0.6011512402327525,0.5801282051282052,-0.11222377509050248,0.5673999949152059,-35.013817828236775,198.7596153846154
