,-30%,base,+30%
atr_stop_mult,0.8019828681068336,0.5163933061646944,0.4637000012331181
atr_trail_mult,0.7995533774085317,0.5163933061646944,0.12652015869399116
vol_target,0.5120696942582779,0.5163933061646944,0.5157677873377317
max_risk,0.47622962925507123,0.5163933061646944,0.5914198205041056
max_corr,-0.21159085198051192,0.5163933061646944,0.3630670967753854
max_gross,0.7847466736630385,0.5163933061646944,0.5099782990812911
tsmom_horizons,0.3000193170013166,0.5163933061646944,0.3199637706881099
xsmom_days,0.4787466259084106,0.5163933061646944,0.41994611984459485
donchian_fast,0.23417402844773288,0.5163933061646944,0.5163933061646944
donchian_slow,0.5163933061646944,0.5163933061646944,0.5163933061646944
meanrev_days,0.5163933061646944,0.5163933061646944,0.5163933061646944
er_bars,0.648193752134011,0.5163933061646944,0.6275216688713564
