combinaison,entry_time,exit_time,pair,variant,entry_price,initial_stop,target,exit_price,exit_reason,r_multiple,net_pnl,gross_pnl,fees,funding,bars_held,qty,notional,risk_amount,rr_planned,b_price,a_price,l1,l2,moved_to_breakeven,size_capped,equity_after
B-risk10%,2023-02-04 18:00:00+00:00,2023-02-05 12:00:00+00:00,AAVE_USDT_USDT,B,89.49,87.222545,96.25999999999999,87.1789337275,stop,-1.0709669810647295,-10.709669810647295,-10.192335779541386,0.42853293031228873,0.08880110079362111,18,4.410230853534031,394.67155908276044,10.0,2.985726287842538,94.49,87.72,89.29,87.485,False,False,89.2903301893527
B-risk10%,2023-02-03 20:00:00+00:00,2023-02-05 19:00:00+00:00,ETH_USDT_USDT,B,1656.05,1610.1136957142855,1726.05,1609.3086388664285,stop,-1.0778019374829204,-10.778019374829205,-10.175255032022111,0.3909646801810854,0.21179966262600888,47,0.2176927411879294,360.51006404427045,10.0,1.5238491883155059,1720.0,1650.0,1655.0549999999998,1614.9585714285713,False,False,78.5123108145235
B-risk10%,2023-02-03 05:00:00+00:00,2023-02-06 05:00:00+00:00,BTC_USDT_USDT,B,23527.8,22624.945925,25056.899999999998,22613.633452037502,stop,-1.0640915104261102,-10.6409151042611,-10.125296803500586,0.28108405445941687,0.23453424630109815,72,0.01107598700266154,260.59360700122016,10.0,1.6936291725769745,24280.0,22750.9,23524.6,22693.025,False,False,67.8713957102624
B-risk10%,2023-02-02 22:00:00+00:00,2023-02-07 22:00:00+00:00,YFI_USDT_USDT,B,7717.0,7365.836,8861.0,7829.0,time_stop,0.26162761558701936,2.6162761558701937,3.1893929901698375,0.24348452574865323,0.3296323085509907,120,0.028476723126516404,219.7548723673271,10.0,3.2577371256734766,8144.0,7000.0,7610.0,7388.0,False,False,70.4876718661326
B-risk10%,2023-03-14 22:00:00+00:00,2023-03-15 14:00:00+00:00,FIL_USDT_USDT,B,6.795,6.305028,8.251000000000001,6.301875486,stop,-1.0239091121886554,-7.21729695206971,-7.094119446004692,0.10362684887112333,0.019550657193895617,16,14.386061216994568,97.75328596947809,7.048767186613261,2.9715983770501206,7.585,6.129,6.652166666666666,6.324,False,False,63.27037491406289
B-risk10%,2023-07-12 14:00:00+00:00,2023-07-12 17:00:00+00:00,ORDI_USDT_USDT,B,7.742,7.4301425000000005,8.963999999999999,7.426427428750001,stop,-1.0395951078162682,-6.577557223036093,-6.402409720972651,0.16925732094003612,0.005890181123405832,3,20.28823257868193,157.07149662415551,6.32703749140629,3.918456346247888,8.1,6.878,7.600333333333334,7.452500000000001,False,False,56.6928176910268
B-risk10%,2023-07-13 06:00:00+00:00,2023-07-13 15:00:00+00:00,SOL_USDT_USDT,B,21.857,21.302899,22.946,22.946,target,1.9309305298131627,10.946989250073543,11.14209836573628,0.16995076401191955,0.025158351650815848,9,10.231495285340916,223.6297924516964,5.66928176910268,1.9653456680280375,22.946,21.857,21.7895,21.367,False,False,67.63980694110035
B-risk10%,2023-07-12 22:00:00+00:00,2023-07-14 18:00:00+00:00,ORDI_USDT_USDT,B,7.41,6.968033,8.632,6.9645489835,stop,-1.034992473286297,-5.867663959960496,-5.713972597211344,0.10141334685661263,0.052278015892539435,44,12.827387042703823,95.05093798643533,5.66928176910268,2.7649123124577164,8.1,6.878,7.2995,6.989,False,False,61.77214298113985
B-risk10%,2023-07-15 17:00:00+00:00,2023-07-17 10:00:00+00:00,AAVE_USDT_USDT,B,78.6,75.049175,87.7,75.0116504125,stop,-1.0457058557453205,-6.459549163731514,-6.242494174885113,0.14697729282821365,0.07007769601818659,41,1.7396560793939448,136.73696784036406,6.177214298113985,2.5627847049629415,88.04,78.94,78.39666666666666,75.275,False,False,55.312593817408334
B-risk10%,2023-10-31 16:00:00+00:00,2023-11-01 10:00:00+00:00,LINK_USDT_USDT,B,11.232,10.8468615,12.223999999999998,10.84143806925,stop,-1.0521657058125509,-5.819801431421639,-5.609149289441978,0.17435715015325104,0.03629499182640903,18,14.361740988607561,161.31107478404013,5.531259381740834,2.5756967947894043,12.033,11.041,11.0335,10.8795,False,False,49.4927923859867
B-risk10%,2023-11-07 11:00:00+00:00,2023-11-09 16:00:00+00:00,ICP_USDT_USDT,B,4.133,3.97578675,4.452999999999999,4.1309335,breakeven_stop,-0.05947193334531126,-0.294343204985273,-0.06505612947103961,0.14308770396509546,0.08619937154913795,53,31.481311140114936,130.11225894209502,4.94927923859867,2.03545184645696,4.303,3.983,4.1259999999999994,3.98775,True,False,49.19844918100142
B-risk10%,2023-11-09 19:00:00+00:00,2023-11-10 16:00:00+00:00,AVAX_USDT_USDT,B,12.725,12.16414775,13.790999999999999,13.790999999999999,target,1.8773264037007944,9.23615476686257,9.351045097340249,0.08558881750703005,0.0293015129706467,21,8.77208733333983,111.62481131674933,4.919844918100143,1.9006788329724968,13.972,12.906,12.7018,12.20075,False,False,58.43460394786399
B-risk10%,2023-11-09 19:00:00+00:00,2023-11-11 14:00:00+00:00,FIL_USDT_USDT,B,4.34,4.054300499999999,4.795,4.795,target,1.5727057625232073,7.737468453416612,7.835258506702183,0.057619285633902194,0.040170767651669256,43,17.22034836637842,74.73631191008234,4.919844918100143,1.5925824161400317,4.698,4.243,4.2455,4.0665,False,False,66.1720724012806
B-risk10%,2023-11-10 15:00:00+00:00,2023-11-14 00:00:00+00:00,AAVE_USDT_USDT,B,97.67,91.71403000000001,112.42,91.66817298500001,stop,-1.041787296635434,-5.125431937093126,-4.957724457823642,0.0860200683498138,0.08168741091967002,81,0.826035879646833,80.67892436510618,4.919844918100143,2.4765067654806883,109.91,95.16,95.5125,91.99000000000001,False,False,61.046640464187476
B-risk10%,2023-11-12 01:00:00+00:00,2023-11-14 11:00:00+00:00,SUI_USDT_USDT,B,0.5776,0.53384365,0.6705,0.5773112,breakeven_stop,-0.030687229624956788,-0.20306375805373636,-0.043674791223418725,0.09606051955635565,0.06332844727396197,58,151.22850146614286,87.34958244684411,6.61720724012806,2.123120415665383,0.6265,0.5336,0.5665,0.53545,True,False,60.84357670613374
B-risk10%,2023-11-21 20:00:00+00:00,2023-11-21 22:00:00+00:00,WLD_USDT_USDT,B,2.341,2.2287935,2.8200000000000003,2.2276791032500003,stop,-1.0328474309134257,-6.284213188851419,-6.1447854391826455,0.13625425229854404,0.0031734973702294204,2,54.22464536914857,126.9398948091768,6.084357670613374,4.268914902434348,2.718,2.239,2.32,2.2355,False,False,54.55936351728232
B-risk10%,2023-11-26 09:00:00+00:00,2023-11-26 16:00:00+00:00,SUI_USDT_USDT,B,0.6382,0.6108120499999999,0.7146,0.610506643975,stop,-1.0382663609063914,-5.664715181245765,-5.516776094528773,0.13681473729611981,0.011124349420872438,7,199.20937316331535,127.13542195282785,5.455936351728233,2.789547958134869,0.6887,0.6123,0.6349499999999999,0.6126499999999999,False,False,48.89464833603655
B-risk10%,2023-11-30 01:00:00+00:00,2023-12-04 11:00:00+00:00,SOL_USDT_USDT,B,59.3,54.890458125,67.18,59.27035,breakeven_stop,-0.039332020744217745,-0.19231253226342215,-0.03287702814168922,0.07231137954624658,0.08712412457548635,106,1.1088373740874524,65.75405628338592,4.889464833603656,1.7870337153788836,61.81,53.93,59.09,55.055625,True,False,48.70233580377313
B-risk10%,2023-12-05 17:00:00+00:00,2023-12-06 11:00:00+00:00,SUI_USDT_USDT,B,0.6409,0.6051914625,0.7476,0.60488886676875,stop,-1.031700601235008,-5.0246229130302,-4.911504155841589,0.0934511956741031,0.01966756151450781,18,136.38849197834858,87.4113845089236,4.870233580377313,2.9880809316259436,0.6592,0.5525,0.6349499999999999,0.6070125,False,False,43.67771289074293
B-risk10%,2023-12-07 00:00:00+00:00,2023-12-08 01:00:00+00:00,SOL_USDT_USDT,B,63.03,59.00427272727274,69.66999999999999,69.66999999999999,target,1.6324261878147392,7.130064234670218,7.204164463879747,0.052729818528130766,0.021370410681397844,25,1.084964527692735,68.38531418047309,4.367771289074294,1.6493914143124921,66.77,60.13,61.480000000000004,59.181818181818194,True,False,50.80777712541315
