,0
2023-01-01,
2023-02-01,"ETH/USDT:USDT,BTC/USDT:USDT,APT/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,LTC/USDT:USDT,GALA/USDT:USDT,ETC/USDT:USDT,OP/USDT:USDT,FIL/USDT:USDT,MASK/USDT:USDT,SHIB/USDT:USDT,DYDX/USDT:USDT,XRP/USDT:USDT,AXS/USDT:USDT,MANA/USDT:USDT,APE/USDT:USDT,AVAX/USDT:USDT,LUNA/USDT:USDT,DOT/USDT:USDT,SAND/USDT:USDT,CRV/USDT:USDT,PEOPLE/USDT:USDT,NEAR/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT,GMT/USDT:USDT,CHZ/USDT:USDT,ATOM/USDT:USDT,BCH/USDT:USDT"
2023-03-01,"ETH/USDT:USDT,BTC/USDT:USDT,APT/USDT:USDT,CFX/USDT:USDT,OP/USDT:USDT,DOGE/USDT:USDT,LTC/USDT:USDT,FIL/USDT:USDT,DYDX/USDT:USDT,SHIB/USDT:USDT,SOL/USDT:USDT,MASK/USDT:USDT,ETC/USDT:USDT,CORE/USDT:USDT,GRT/USDT:USDT,LDO/USDT:USDT,XRP/USDT:USDT,GALA/USDT:USDT,LINK/USDT:USDT,DOT/USDT:USDT,SAND/USDT:USDT,AVAX/USDT:USDT,PEOPLE/USDT:USDT,CRV/USDT:USDT,MINA/USDT:USDT,NEAR/USDT:USDT,ADA/USDT:USDT,AXS/USDT:USDT,ATOM/USDT:USDT,BCH/USDT:USDT"
2023-04-01,"ETH/USDT:USDT,BTC/USDT:USDT,CFX/USDT:USDT,LTC/USDT:USDT,APT/USDT:USDT,MASK/USDT:USDT,XRP/USDT:USDT,FIL/USDT:USDT,OP/USDT:USDT,BLUR/USDT:USDT,DOGE/USDT:USDT,SOL/USDT:USDT,STX/USDT:USDT,ETC/USDT:USDT,DYDX/USDT:USDT,SHIB/USDT:USDT,LDO/USDT:USDT,GALA/USDT:USDT,IMX/USDT:USDT,CORE/USDT:USDT,DOT/USDT:USDT,ADA/USDT:USDT,LINK/USDT:USDT,MAGIC/USDT:USDT,ATOM/USDT:USDT,SNX/USDT:USDT,BNB/USDT:USDT,SAND/USDT:USDT,YFI/USDT:USDT,APE/USDT:USDT"
2023-05-01,"ETH/USDT:USDT,BTC/USDT:USDT,ARB/USDT:USDT,DOGE/USDT:USDT,CFX/USDT:USDT,LTC/USDT:USDT,BLUR/USDT:USDT,APT/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,OP/USDT:USDT,MASK/USDT:USDT,FIL/USDT:USDT,ETC/USDT:USDT,SHIB/USDT:USDT,DYDX/USDT:USDT,LINK/USDT:USDT,ADA/USDT:USDT,DOT/USDT:USDT,GALA/USDT:USDT,STX/USDT:USDT,BNB/USDT:USDT,LDO/USDT:USDT,CORE/USDT:USDT,PEOPLE/USDT:USDT,AVAX/USDT:USDT,ONT/USDT:USDT,ATOM/USDT:USDT,WOO/USDT:USDT,APE/USDT:USDT"
2023-06-01,"ETH/USDT:USDT,BTC/USDT:USDT,PEPE/USDT:USDT,LTC/USDT:USDT,CFX/USDT:USDT,ARB/USDT:USDT,XRP/USDT:USDT,DOGE/USDT:USDT,OP/USDT:USDT,SUI/USDT:USDT,SOL/USDT:USDT,MASK/USDT:USDT,BLUR/USDT:USDT,APT/USDT:USDT,FIL/USDT:USDT,LDO/USDT:USDT,GALA/USDT:USDT,SHIB/USDT:USDT,ETC/USDT:USDT,STX/USDT:USDT,DYDX/USDT:USDT,ADA/USDT:USDT,DOT/USDT:USDT,CORE/USDT:USDT,LINK/USDT:USDT,SAND/USDT:USDT,BCH/USDT:USDT,ATOM/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT"
2023-07-01,"BTC/USDT:USDT,ETH/USDT:USDT,PEPE/USDT:USDT,BCH/USDT:USDT,LTC/USDT:USDT,XRP/USDT:USDT,CFX/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,SUI/USDT:USDT,ARB/USDT:USDT,OP/USDT:USDT,BNB/USDT:USDT,FIL/USDT:USDT,ORDI/USDT:USDT,APT/USDT:USDT,ETC/USDT:USDT,BLUR/USDT:USDT,MASK/USDT:USDT,ADA/USDT:USDT,STX/USDT:USDT,CORE/USDT:USDT,LDO/USDT:USDT,APE/USDT:USDT,COMP/USDT:USDT,DYDX/USDT:USDT,DOT/USDT:USDT,LINK/USDT:USDT,SHIB/USDT:USDT,CRV/USDT:USDT"
2023-08-01,"BTC/USDT:USDT,ETH/USDT:USDT,XRP/USDT:USDT,BCH/USDT:USDT,LTC/USDT:USDT,DOGE/USDT:USDT,SOL/USDT:USDT,PEPE/USDT:USDT,COMP/USDT:USDT,OP/USDT:USDT,FIL/USDT:USDT,ARB/USDT:USDT,CFX/USDT:USDT,LINK/USDT:USDT,SUI/USDT:USDT,XLM/USDT:USDT,ETC/USDT:USDT,AGLD/USDT:USDT,APT/USDT:USDT,CRV/USDT:USDT,ORDI/USDT:USDT,BNB/USDT:USDT,ADA/USDT:USDT,MASK/USDT:USDT,APE/USDT:USDT,UNI/USDT:USDT,AAVE/USDT:USDT,SNX/USDT:USDT,1INCH/USDT:USDT,DYDX/USDT:USDT"
2023-09-01,"BTC/USDT:USDT,ETH/USDT:USDT,LPT/USDT:USDT,YGG/USDT:USDT,BCH/USDT:USDT,XRP/USDT:USDT,LTC/USDT:USDT,PEPE/USDT:USDT,SOL/USDT:USDT,DOGE/USDT:USDT,OP/USDT:USDT,WLD/USDT:USDT,SHIB/USDT:USDT,SUI/USDT:USDT,CRV/USDT:USDT,CFX/USDT:USDT,ARB/USDT:USDT,LINK/USDT:USDT,FIL/USDT:USDT,APT/USDT:USDT,API3/USDT:USDT,COMP/USDT:USDT,ETC/USDT:USDT,TRB/USDT:USDT,BNB/USDT:USDT,APE/USDT:USDT,DYDX/USDT:USDT,ADA/USDT:USDT,DOT/USDT:USDT,UNI/USDT:USDT"
2023-10-01,"BTC/USDT:USDT,ETH/USDT:USDT,TRB/USDT:USDT,WLD/USDT:USDT,BCH/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT,LTC/USDT:USDT,DOGE/USDT:USDT,PEPE/USDT:USDT,LPT/USDT:USDT,OP/USDT:USDT,LINK/USDT:USDT,ARB/USDT:USDT,CFX/USDT:USDT,AGLD/USDT:USDT,YGG/USDT:USDT,CRV/USDT:USDT,SUI/USDT:USDT,FIL/USDT:USDT,APT/USDT:USDT,ETC/USDT:USDT,ORDI/USDT:USDT,APE/USDT:USDT,GALA/USDT:USDT,DOT/USDT:USDT,BNB/USDT:USDT,LUNA/USDT:USDT,COMP/USDT:USDT,DYDX/USDT:USDT"
