symbole,devise,prix,prix_cad,actions_pour_200cad,risque_1action_stop2pct_cad,volume_dollar_median_60j,liquide,fractionnement_requis,tradable_actions_entieres
BIL,USD,91.57,125.44,1,2.51,772340409,True,False,True
EFA,USD,106.13,145.38,1,2.91,1074865611,True,False,True
SGOV,USD,100.6,137.81,1,2.76,1928612538,True,False,True
TLT,USD,81.8,112.05,1,2.24,2190706148,True,False,True
XEG.TO,CAD,28.25,28.25,7,0.57,50849025,True,False,True
XIU.TO,CAD,53.41,53.41,3,1.07,193557959,True,False,True
XLE,USD,62.46,85.56,2,1.71,1719259822,True,False,True
XLF,USD,55.9,76.58,2,1.53,1706871556,True,False,True
ZSP.TO,CAD,119.57,119.57,1,2.39,13998439,True,False,True
DIA,USD,519.78,712.03,0,14.24,1721244612,True,True,False
GLD,USD,398.38,545.73,0,10.91,3193947143,True,True,False
IWM,USD,285.58,391.21,0,7.82,5691051715,True,True,False
QQQ,USD,741.47,1015.71,0,20.31,24200078726,True,True,False
SPY,USD,773.5,1059.59,0,21.19,33092628156,True,True,False
XLI,USD,169.98,232.85,0,4.66,1186075266,True,True,False
XLK,USD,194.85,266.92,0,5.34,1359160090,True,True,False
XLV,USD,169.01,231.52,0,4.63,1339160251,True,True,False
